dataflow,IMF.RES:WEO(9.0.0),R,TUV,BCA,A,2026,-658000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,TUV,BCA,A,2027,-2907000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,TUV,BCA,A,2028,-3772000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,TUV,BCA,A,2029,-4679000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,TUV,BCA,A,2030,-5492000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,TUV,BCA,A,2031,-6338000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,TUV,BCA_NGDPD,A,2026,-1.008654,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,TUV,BCA_NGDPD,A,2027,-4.235419,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,TUV,BCA_NGDPD,A,2028,-5.244504,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,TUV,BCA_NGDPD,A,2029,-6.239428,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,TUV,BCA_NGDPD,A,2030,-7.044619,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/10/2025
dataflow,IMF.RES:WEO(9.0.0),R,TUV,BCA_NGDPD,A,2031,-7.833935,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,9/10/2025
