dataflow,IMF.RES:WEO(9.0.0),R,G110,BCA,A,2026,-86921471000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BCA,A,2027,-50321091000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BCA,A,2028,5839518000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BCA,A,2029,17589600000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BCA,A,2030,85635050000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BCA,A,2031,68076735000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BCA_NGDPD,A,2026,-0.117964,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BCA_NGDPD,A,2027,-0.065605,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BCA_NGDPD,A,2028,0.007334,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BCA_NGDPD,A,2029,0.021309,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BCA_NGDPD,A,2030,0.10009,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BCA_NGDPD,A,2031,0.07681,0,,3,,CAB,,,,,,,,,,,,,,PT,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BF,A,2026,-71869132000,9,,3,,FAB,,,,,,,,,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BF,A,2027,-70282046000,9,,3,,FAB,,,,,,,,,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BF,A,2028,-16913057000,9,,3,,FAB,,,,,,,,,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BF,A,2029,-7432667000,9,,3,,FAB,,,,,,,,,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BF,A,2030,58721946000,9,,3,,FAB,,,,,,,,,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BF,A,2031,38897193000,9,,3,,FAB,,,,,,,,,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BFD,A,2026,333111290000,9,,3,,,,,,,,,,N,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BFD,A,2027,283201073000,9,,3,,,,,,,,,,N,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BFD,A,2028,292241772000,9,,3,,,,,,,,,,N,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BFD,A,2029,293659259000,9,,3,,,,,,,,,,N,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BFD,A,2030,287155256000,9,,3,,,,,,,,,,N,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BFD,A,2031,279324038000,9,,3,,,,,,,,,,N,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BFF,A,2026,56450105000,9,,3,,,,,,,,,,N,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BFF,A,2027,47758931000,9,,3,,,,,,,,,,N,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BFF,A,2028,35057575000,9,,3,,,,,,,,,,N,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BFF,A,2029,31284557000,9,,3,,,,,,,,,,N,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BFF,A,2030,28029446000,9,,3,,,,,,,,,,N,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BFF,A,2031,24087819000,9,,3,,,,,,,,,,N,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BFO,A,2026,-211680010000,9,,3,,,,,,,,,,N,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BFO,A,2027,-68310956000,9,,3,,,,,,,,,,N,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BFO,A,2028,10263385000,9,,3,,,,,,,,,,N,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BFO,A,2029,94440551000,9,,3,,,,,,,,,,N,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BFO,A,2030,205203712000,9,,3,,,,,,,,,,N,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BFO,A,2031,171766342000,9,,3,,,,,,,,,,N,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BFP,A,2026,-488258337000,9,,3,,,,,,,,,,N,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BFP,A,2027,-547190984000,9,,3,,,,,,,,,,N,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BFP,A,2028,-565954905000,9,,3,,,,,,,,,,N,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BFP,A,2029,-648477521000,9,,3,,,,,,,,,,N,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BFP,A,2030,-688331965000,9,,3,,,,,,,,,,N,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BFP,A,2031,-690975053000,9,,3,,,,,,,,,,N,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BFRA,A,2026,239677731000,9,,3,,,,,,,,,,N,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BFRA,A,2027,215482844000,9,,3,,,,,,,,,,N,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BFRA,A,2028,212758405000,9,,3,,,,,,,,,,N,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BFRA,A,2029,222979578000,9,,3,,,,,,,,,,N,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BFRA,A,2030,228052044000,9,,3,,,,,,,,,,N,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BFRA,A,2031,256126065000,9,,3,,,,,,,,,,N,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BM,A,2026,22461874646000,9,,3,,MGS,,,,,,,,,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BM,A,2027,23184628162000,9,,3,,MGS,,,,,,,,,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BM,A,2028,23945552629000,9,,3,,MGS,,,,,,,,,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BM,A,2029,24734038967000,9,,3,,MGS,,,,,,,,,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BM,A,2030,25530187334000,9,,3,,MGS,,,,,,,,,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BM,A,2031,26382665787000,9,,3,,MGS,,,,,,,,,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BX,A,2026,22779204827000,9,,3,,XGS,,,,,,,,,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BX,A,2027,23533254132000,9,,3,,XGS,,,,,,,,,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BX,A,2028,24310253100000,9,,3,,XGS,,,,,,,,,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BX,A,2029,25119834107000,9,,3,,XGS,,,,,,,,,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BX,A,2030,25976780911000,9,,3,,XGS,,,,,,,,,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,BX,A,2031,26846008474000,9,,3,,XGS,,,,,,,,,,,,,,USD,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,GGR_NGDP,A,2026,36.357518,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,GGR_NGDP,A,2027,36.361821,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,GGR_NGDP,A,2028,36.273105,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,GGR_NGDP,A,2029,36.327733,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,GGR_NGDP,A,2030,36.451127,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,GGR_NGDP,A,2031,36.509615,0,,3,,,,G1,,,,,S13,,,,,,,PT,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,GGSB_NPGDP,A,2026,-4.881363,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,GGSB_NPGDP,A,2027,-4.807026,0,,3,,,,SB,,,,,S13,,,,,,,PT,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,GGXCNL_NGDP,A,2026,-4.761675,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,GGXCNL_NGDP,A,2027,-4.663924,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,GGXCNL_NGDP,A,2028,-4.698393,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,GGXCNL_NGDP,A,2029,-4.573097,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,GGXCNL_NGDP,A,2030,-4.558077,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,
dataflow,IMF.RES:WEO(9.0.0),R,G110,GGXCNL_NGDP,A,2031,-4.511481,0,,3,,,,GNLB,,,,,S13,,,,,,,PT,,,OL,
